,日期,標題,內容,讚數
0,2021/5/16 18:37,"友達, 群創, 彩晶",面板下雙虎主力動向及平均成本分析～友達過去240天買超主力前三名：1. 瑞信 +181818張，平均成本14.94元2. 摩根大通 +135355張 ，平均成本16.45元3. 摩根士丹利+127920張，平均成本16.24元友達過去120天買超主力前三名：1.瑞信+161617張，平均成本17.88元2. 摩根士丹利+128287張，平均成本18.97元3. 摩根大通+105645張，平均成本19.11元友達過去60天買超主力前三名：1. 港商麥格理+63794張，平均成本19.25元2. 瑞信+50357張，平均成本21.06元3. 花旗環球+23383張，平均成本20.92元群創過去240天買超主力前三名：1. 元富 +149276張，平均成本14.85元2. 永豐金+128547張，平均成本15.4元3. 國泰+128310張，平均成本14.93元群創過去120天買超主力前三名：1. 元富 +103224張，平均成本16.94元2. 永豐金+91996張，平均成本18.33元3. 華南永昌+89969張，平均成本16.16元群創過去60天買超主力前三名：1. 富邦+29681張，平均成本20.82元2. 國泰敦南+20528張，平均成本23.66元3. 統一+17329張，平均成本23.29元以主力近來買超雙虎的成本來看，目前股價已經接近或低於主力最近3個月買超的平均成本，先前面板股回檔修正逾4成已經超跌，若本週因疫情持續再下跌，對於主力、法人來說，可說是難得低檔進場佈局好機會。這兩週最是最壞狀況，當疫情回穩後，在法人回補面板股後，有基本面的面板股一定會展開一波反彈行情！,"1,628"
1,2021/5/16 18:05,"友達, 群創, 彩晶",台灣人真的很可愛，一個疫情打垮了所有投資人的信心與勇氣。疫情擴散造成股市崩跌，想問全世界疫情嚴重的國家股市有像台灣這樣走勢嗎？友達光電董事長及總經理專業經理人，今年都有陸續增加持股。雖然不是很多也代表他們看好公司前景樂觀，試問他們會疫情問題，公司不會繼續經營嗎？他們反而看到更大商機。面板需求強勁帶動，加上疫情持續延燒。不就是一個送分題嗎？答案已經明明白白告訴大家，面板三傑今年業績成長爆表。我比較擔心的是空氣污染問題，聽國泰醫院胸腔外科主任所言。國泰醫院平均每天有一刀肺癌手術，這是環境污染造成的PM2.5是隱形殺手。我們不管出門在外記得一定要戴上口罩，防止疫情也防止空氣污染影響健康。疫情總是會結束，出門在外口罩不離身。保護自己的健康，從今天開始。台灣人怕鬼，台灣人膽子最小，經不起風吹草動就嚇到屁滾尿流。這也難怪財富永遠集中在少數人身上，疫情延燒有看到上市櫃公司大老闆在拋售股票嗎？人嚇人嚇死人，股神華倫.巴菲特一句話，價值投資。現在面板三傑就是在最理想的甜甜價，電子產業的低價、低淨值、低本益比三低價值股。以上言論僅供參考，買賣股票自負盈虧。,"1,078"
2,2021/5/16 18:16,"恆大, 華航, 加權指數, 高端疫苗, 台康生技",疫情爆發這是人人都不想經歷的但是大盤在上週最高回檔2000多點以台股資金基本面來說沒有到崩盤的跡象漲多回檔，未來持續看多創新高其中這次疫情受惠的也有華航跟（生技股一樣）未來五月底股財看好漲價到每公斤600元至700元的運價，加上美國疫苗未來送來台灣有只有華航有這個技術可以冷凍載運疫苗，未來空運甚至有機會跟航運一樣。聯發科、鴻海、台積電政府明顯表態最多意願股市最大的莊家就是政府政府已經明顯表態股市的狀況甚至表態下週若震盪太大就會有一隻手出來上次1400點下殺尾盤硬拉誰有這個能力做到把台積電從518拉到560只有一隻黑手能做到所以明天我認為是一個大買點只要開高，5/12的低點就是這個月的最低點開低就看下影線低點上次黑手硬拉台積電那邊黑手不會讓自己賠錢的所以我絕對看多台股歡迎分享與轉發,368
3,2021/5/16 16:53,友達,這兩天沒什麼發文一直在觀察板上看到一大堆崩盤言論說下週一台股面臨危機不諱言疫情嚴重風暴持續會恐慌會怕那是正常不過我看到蠻多幸災樂禍一直散佈製造加重整個對市場負面言論營造出整個恐慌氛圍目前疫情嚴重防疫當前最不缺這些製造混亂的言論而是要團結面對疫情渡過這段艱難時刻市場會如何反應我們沒辦法控制短期震盪無法避免市場現在信心匱乏一有個風吹草動容易引發心理層面的情緒影響疫情終將會過去台灣人的危機意識強烈這段時間沒事不要外出減少可能的散播風險姑且不論明天會如何但最後還是會回歸正常軌道期望疫情早點獲得控制現在更需要的是正面能量而不是負面言論齊心面對明天會更好！共同守住台灣～,867
4,2021/5/16 05:57,"聯電, 台積電, 華邦電, 友達, 群創",群創友達聯電華邦電台積電親愛的老粉絲們，1.下週疫情發展，請相信台大感染科李秉穎醫師，黃立民醫師對疫情的發言評論，其他小道消息都不要聽，也不要傳，疫情不是忽然擴散的，是漸漸散播開來的，也會像上面兩位專家說的，一個月內能夠控制住，讓疫情恢復小規模傳染，那真的是天祐台灣了！2.股票至少要大跌一週，盤跌一週，老粉絲們可以在5月28日之前，精選進場股票，中期投資業績績優股。3.什麼位置買？上一篇技術分析已經寫的很清楚，未來五天我理論上不會買任何股票，除非連續大跌五天，我要買的半導體，面板，航運來到十月線，我才會出手買進。4.老粉絲們這次疫情大跌，幾乎所有的股票股價，都回不去原來最高點，三個月到半年最多回到原高點的七成九成，這樣的機率非常高（有變動會提早告知）。5.老粉絲們都有五星評級（讚喔你真棒！標記），不是老粉絲級數不用問問題，我不會回答，老粉絲們問問題我需要回答提醒，會回答在老粉絲們的五星評級下面留言，自己去關注！6.至於那些假粉絲留言揶揄，耍白吃的，亂評論的，謾罵的，一律封鎖，我不在乎，現在封鎖比以前舊款APP太有效了。7.老粉絲們對於這種，不是跟我們同路學習的酸民，也可以封鎖才不會看到留言礙眼～我幾乎都看不到酸民留言，因為我早就封鎖了他們了。追蹤我不定時分析看完按讚,"4,751"
5,2021/5/16 22:32,"中鋼, 長榮, 陽明, 華航, 長榮航",如果只是想找文抱團取暖，或是找人一起吹口哨壯膽，那請跳過這篇慢走不送。我考慮一整天了，考慮這篇要不要發，要是發了，壯膽團肯定噓爆我，而且上週三我就已經清倉了，不發這篇文，就算再3根、5根我也沒差，但是睡前我還是覺得，就算會被噓，能勸一個算一個。這兩天，可以看到各種打氣的說法。第一種：「三級的股價上週已經反應，大家不要怕」，大家想一想上週三，早上陳時中一宣布不排除進入三級，馬上就是一路摔到1417，一直到12點，他再出來宣佈當天不會進入三級，加上官股券商撒100多億進場，才勉強把指數拉回690，接下來週四、週五兩天，每天他都出來宣佈「不會進入三級、已經找到關聯，所以三級的機會降低」，但是除了電子稍微有點起色之外，傳產、航運、原物料的股價還是沒起色，甚至隨便踹一下馬上就亮燈，死命掙扎才把燈弄熄，每天信心喊話說不會升三級都這樣，你們還要相信股價上週已經反應了嗎？第二種：「國安基金會進場護盤、520快要到了，政府一定會出來拉」，先不說14、15000國安會不會進場，就算進場，銀彈也有限，大家都要逃命，他肯定是先救大哥二哥，把指數穩住不要太難看，你們覺得國安是拉電子穩住的指數比較多，還是拉航運傳產呢？第三種：「X國一天幾百例，他們也沒崩盤」這個我說過了，人家疫情一開始就崩了，現在已經麻痺了，人民麻痺、股市也麻痺，但這次是台灣第一次進入三級，是的，部桃的時候也沒崩，但是你們看看這兩天的氛圍，跟部桃那時候一樣嗎？比較像疫情剛爆發的那時候吧？第四種：「一張不賣，奇蹟自來」是的，奇蹟總是會來，但是要多久？1年、2年？10年？你一張成本7、80，股價要是摔到4、50，你要等多久才會回來？如果真的看好它、如果幾週後它真的會反彈好了，既然已經知道下週下跌的機率這麼大，你何不先在6、70停損下車，等他3、40回頭再撿呢？這樣一樣可以持有它，等待奇蹟的時間也能縮短不是嗎？，我用長榮來假設一下好了，假設下週比照上週，也是跌30元，你去拿10個10元銅板出來，一個銅板代表1萬，再拿一張紙，代表一張長榮股票，你先把10個銅板推出去，把股票拿回來，這是你100塊進場的長榮，對吧？？你現在把股票推出去，拿70塊回來，這是你現在70下車的價錢，好~現在假設長榮跌到40~你現在拿40出去，把股票拿回來，你現在手上照樣股票一張，但是手上多了3個銅板，再來長榮假設有命漲回70，你把股票再推出去，拿70回來，現在你手上幾個銅板？10個，！只要股價再彈回70，你就可以把100收回，但要是你100進從頭抱到尾，一樣彈回70，你還是虧30，要是彈回100，不跑頂多打平，出了再進的你反賺30，越早下車，虧損越少、回本越快。所以我還是建議，週一肯定還有人想抄底、想加碼攤平，所以同學們~趁機能走先走，就算賣在跌停，上個禮拜每天都後悔昨天怎麼不賣，導致又吃一根的戲碼，下週你不會想要再來一次吧？？抱著「不下賭桌就不算輸」心態的人，那不叫投資，叫賭博，那些勸你們別跑的，是真的覺得股價會反彈，還是拉你們陪他壯膽、叫你們留下洗碗他要先走呢？？,87
6,2021/5/16 23:02,"長榮, 陽明, 萬海",大家晚安~來談談熱門股票~長榮~萬海~陽明從技術面來做簡單的分析前言:我不會唱衰個股，也不會無腦多，一切就線論線首先三檔裡面就技術面來說陽明是相對較好的，萬海、長榮在5/13都有出現空方缺口，缺口的出現代表趨勢被扭轉了，只有把缺口封閉了，萬海、長榮才算真正的止跌翻多。萬海:5/13的跳空摜破月線、頸線導致上方形成了M頭的空方型態，至於萬海能夠在禮拜五能收這麼長的腳是因為左邊有個多方缺口的支撐反彈，但下降趨勢中我們看壓不看撐，加上短期均線的下彎，萬海主要觀察什麼時候封閉缺口跟5/14近期的大量低點73不要跌破，最怕被均線壓著頭往下走，一旦跌破73用等於測距來看，跌到66都有可能的。長榮:跟萬海差不多，一樣有空方缺口跟長黑或缺口摜破月線，交易量近三天的逐步放大，每天的大量低點一直被跌破，表示每波低點承接的人都被套牢，在交易量逐步放大的過程中就得看什麼時候能守住量大的低點了陽明:雖然一樣跌破月線，至少不是跳空或長黑摜破就好，而且陽明還收了一點腳，真的算三檔裡面最樂觀的，但禮拜五的近期相對大量低點71.3要好好守住，一旦跌破可能就會往左邊的小多方缺口66.4或前波低點54.8奔去了。當然三檔短線都是看空，但長線都還是多方趨勢哦，從周K的角度來看，三檔都還在周20線上，長線多方趨勢沒有問題，甚至陽明還守住周5均線呢~籌碼面來看，投信什麼時候回來買超跟站上十日均線對我而言才是對這三檔籌碼面該觀察的重點周末兩天本土確診都破百的情況下，我想台股的恐慌性賣壓一定不容忽視，若到現在都還沒停損的朋友，我想也不必在下禮拜假如大崩盤的時候砍了，不如蓋牌等待疫情過去巴。只要基本面是好的，營收獲利都是成長的，總有天還是會回來的QQ只是時間長短問題最後天佑台灣~疫情快快退去小弟是使用短線技術面搭配籌碼面輔助的操作可以不認同我，但請尊重我發言的權利我不會唱衰個股，也不會無腦多，一切就線論線若對於持股上有任何問題可以用電腦版的同學會私訊我或留言喔^^,153
7,2021/5/16 16:33,"友達, 群創, 彩晶",同學們下午好，疫情延燒蔓延開來。希望大家都能健康平安，盡量避免外出減少接觸陌生人群。健康才是最大財富，融資買賣股票同學們，盡量減少持股比例。我是現股持有友達光電，我會繼續持有等待黎明到來。面板三傑基本面無法抵抗疫情衝擊，現在只能等待疫情受到控制之後。股價才會回到應有價值，以靜制動平安就是福。同學們請耐心等候，注意自身健康情況。天佑台灣，大家平安。以上言論僅供參考，買賣股票自負盈虧。,"1,071"
8,2021/5/16 18:41,"中鋼, 中鴻, 宏碁, 華航, 加權指數",疫情爆發這是人人都不想經歷的但是大盤在上週最高回檔2000多點以台股資金基本面來說沒有到崩盤的跡象漲多回檔，未來持續看多創新高其中這次疫情受惠的也有華航跟（生技股一樣）未來五月底股財看好漲價到每公斤600元至700元的運價，加上美國疫苗未來送來台灣有只有華航有這個技術可以冷凍載運疫苗，未來空運甚至有機會跟航運一樣。聯發科、鴻海、台積電政府明顯表態最多意願股市最大的莊家就是政府政府已經明顯表態股市的狀況甚至表態下週若震盪太大就會有一隻手出來上次1400點下殺尾盤硬拉誰有這個能力做到把台積電從518拉到560只有一隻黑手能做到所以明天我認為是一個大買點只要開高，5/12的低點就是這個月的最低點開低就看下影線低點上次黑手硬拉台積電那邊黑手不會讓自己賠錢的所以我絕對看多台股歡迎分享與轉發,470
9,2021/5/16 17:33,"華航, 長榮航","華航會不會破底？這重要嗎？觀念分享：1: 因爲很多朋友買華航股票，某方面也是我推薦，如果不是這次華航染疫，股價應該已經反應上漲一段，不會那麼嚴重，但我覺得自己有責任，其實某方面自己不太願意建議股票，因為怕責任，別人賺錢還好，萬一賠錢呢？股市一直存在不確定性的風險，沒有萬無一失的勝算的，但因這次疫情嚴重，而大學演講往後延時，我也趁著有時間也輕鬆時，可能分享一些投資觀念時，分享給朋友，順便發表上來。（請大家邊看文章，邊找券商的股票軟體看K線）2:股票要買在低檔，而不是追在高檔，這很難解釋，這也是廢話，但就會常常發生，怎麼去看？你可以用長期月K線、季K線或年K線去看，你就會很明暸，這尤其對景氣循環股特別有效，我們就拿華航舉例來說明，如果你看了一下，就知道我為什麼從不去看這個航空產業，過去的華航根本不值得投資，因為股票價格只是愈走愈低，表示這個產業完全競爭，加上原油影響這個產業的獲利，完全競爭的產業，怎麼會有合理利潤，怎會值得投資呢？不要笑華航，還有一個產業也是如此，那就是海運業，海運業的股價如陽明走勢ㄧ模一樣，陽明的歷史低點4.40元是在2016年創的，現在追在陽明100元的人，真是如履薄冰啊，幸好產業正在最熱供不應求的階段，目前本益比看不到瑕疵，再過幾年後，你再看月K線或更長的時間的K線，今年五月陽明所創的成交量或價格，可能在歷史上會留下記錄。我沒有說100元是陽明今年的高點，我又不是神，我只是說股價相對的位置，我從去年底開始買陽明，從8元多開始買，總共四段買進，我請我的營業員幫我作報表就分四個價格，第一個價格是平均9元、第二次是一月份陽明的慘烈回檔平均20元，第三次確定上漲買在26元，第四次是陽明關20分禁閉40多元，全部平均25元左右，80元左右開始往上出，平均出在87元，最高價只出在100.5元，從進的價格與出的價格來看，這就是相對高，與相對低的概念。我很佩服長榮王（也就是後來的陽明王），我現在的投資已經不是在拼命，如果年輕時的我，也會ㄧ樣跟他同樣，重押單支股票，在陽明30幾元時，我就認定他會大賺，但我明知道確做不到，我才發現自己的風險承受能力已經大不如從前。3:回到華航，一個完全競爭的產業怎麼會讓我改觀？因為華航是全球第六大航空貨運公司，這還不重要，如果航空貨運供過於求，還不是一樣照死？可是去年武漢肺炎發生後，宅經濟或網路交易的趨勢有變明顯的增加與改變，（各位不清楚，麻煩翻我之前寫的，我不想再重覆），華航空運貨物的營收成長其實比海運業的成長更早發生，華航空運的滿倉到去年第四季才發生，也就是我們現在習慣在淘寶網或其它網站平台買的東西，很多都還是透過航空空運運送，海運畢竟比較拖時間，沒有人買東西要等一個月月，現在網路平台都是求快的，而消費習慣的改變，我相信是回不去的。4:這也是華航與長榮航空一直在擴充貨運機隊，各位在看疫情過後的旅遊開放，可是他們可是在看著前面白花花的銀子需求。這也是為什麼經營績效比較好的長榮航空今年一直屈居當老二，至於客機改貨運的效果不好，不用再說了，如果投資對自己投資的個股不深入研究，賠錢也是剛好，因為研究深入都不見得保證會賺錢，因為上天才是老大，突然給你一個意外風險，誰也無法預料。5: 如果你把華航當成航空貨運公司，客運目前只是獲利的減項，那航空貨運公司跟海運公司有什麼不同？油價是負面因素，但對供不應求的產業，只是助燃劑吧。大家都知道，華航染疫後，打死都不想停貨運班機，就可以理解吧。為什麼我都不提客運，ㄧ方面還早，ㄧ方面如果萬物皆漲，航空票價也不便宜，如果飆漲太多，需求不會減少嗎？旅遊不是人生一定要的，我們講供需，供需會改變的，尤其需求端，消費者的所得並沒有增加很多。6:這波大盤的下跌，造成股市很多小白的陣亡，強勢股因爲短線融資的小白過多，籌碼大亂，造成修正都是慘烈的回檔，再強勢的股票都ㄧ樣，沒有人敢救小白，因為主力自己也不想被漂白。好處是最強勢的股票往往最晚修正，最早修正的股票-電子，已經開始跌不下去了。大盤最慘烈的一段至少渡過大半，最弱的電子股也仍在多頭走勢，只是短線蓋頭賣壓層層，要過也不是不行，成交量要出來消化賣壓。傳產強勢股大都直接三根跌停板，上面滿滿小白，誰要幫小白解套？海運再多利多，我看也要時間整理，現在要V轉過新高，我看願意拉的主力ㄧ定是從事慈善事業。海運業可能需要利空淨淨身，ㄧ堆亂喊目標價的小白其實蠻討厭的，目標價常常是等出來，從來不是喊出來的，當然如果基本面夠強，很多都不是問題，不過最近是看到一些畢業文了，船上夠不夠輕，我也沒深入研究。7:回到重點，如果大盤破底後開始反彈，你會買什麼樣的股票？這時候你應該是從五月往後看一年，那個產業今年第二季開始成長，下半年會大成長，明年上半年會確保成長？這樣的產業才值得投資，而不是投資在人人皆知的好消息產業上，股價早應反應已知的利多，這時候解封會是一個趨勢，畢竟疫苗的取得愈來愈容易，主要幾個大國的注射比率已經快達全體免疫的階段，有疫苗，然後再為疫情恐慌，那也太有疫情恐慌症候群了吧。大盤再跌要搶什麼股票，麻煩底下開放留言，我也想知道。8:至於華航不是蠻符合我上面所說的嗎？這要各位自己判斷，我自己是很訝異，網路上那麼多人對個股研究不深入而敢發表評論，這可以ㄧ句話帶過，用股價說故事，短線股價是很難預測漲跌，否則海運業充斥漲價的好消息，怎可能慘跌近三成，讓許多小白陣亡，我們當然需要了解股價走勢不如預期的後面意義，是基本面出了大問題？還是只是突然發生的意外利空，而這利空對未來獲利影響有多少？這都要自己去研究判斷的，對我而言，這次華航染疫的事件，就好像從頭投資一次，之前的漲跌當互相抵消，從頭再來一次，華航股價會不會破底，我真的不擔心，我怕的是當股價走勢不如預期時，而我是不是誤判什麼或不知道什麼？而從來不是等待，我覺得景氣循環股，過去被壓制那麼久，供需ㄧ直平衡沒什麼大投資的產業，加上產業擴充需要時間才能出來，今年景氣循環股不會漲假的，除非開始看到景氣衰退，但在股價漲了一段下，怎麼入手與資金控管就是學問。別想預估每天股市上下，把自己投資的公司研究清楚比較重要。備註：1:今年台灣經濟數字那麼好，但外資持續賣超，去年也是總賣超，這真的很奇怪，如果外資持續賣超，那電子股的反彈就不會很強，而今年台灣股市傳產股的表現是靠業內，那你就必須了解這些業內主力的投資邏輯，坦白說，我看了兩天大盤的線型，怎麼覺得還沒修正完，看不懂還是空手看看，資金有控管比較好。2: 政府護盤都在10年線，大盤跌到年線自然會反彈，只是今年的利空不在染疫，台灣不會嚴重，缺水這才是大問題。3:別忘了指數在兩年畢竟大漲很多，合理的修正很正常，如何避開修正要有點紀律與原則。這時候不是求大賺，求All-in,而是少賠求存活，抱歉話比較難聽。",275
