,日期,標題,內容,讚數
0,2021/05/19 22:31,"友達, 群創, 彩晶",問題一：面板股現在可以進場嗎？Ans：我不會告訴你多少錢可進場，我只能告訴你面板雙虎目前預估2021年獲利至少6元，彩晶至少4.5元，2022年獲利數字也相去不遠，甚至2023年獲利也不會太差，以目前面板股20出頭的股價，你若認為目前股價太高不值得投資，那我也沒有辦法，自行判斷吧！問題二：面板股這波會漲到多少？Ans：這題跟上題一樣，我不會亂給不負責任的預測，目前疫情因素影響股價表現，若在沒有消息面外在因素，我預估21Q2E雙虎可以再上32元以上，彩晶有機會來到26元，預期面板報價仍持續上揚，5月營收、6月營收都還會成長。問題三：面板股會跌到10元以下嗎？Ans：這題有許多同學聽股票名嘴說的，都很擔心面板再回到以往景氣循環中的雞蛋水餃股，先前文章有說明過，面板廠已經脫離景氣循環，近三年沒有新廠開產能搶市佔，大陸擴產也是假議題（並不影響供需），目前面板股獲利仍持續成長，某些法人透過媒體拋出這些議題是別有用心，無非是想讓前陣子漲幅過大的股價修正，好讓法人定檔進場佈局！問題四：面板報價Q3會轉折嗎？Ans：目前許多研究單位都預估大尺寸TV板會在Q2結束價格上漲 ，IT&NB板會持續上漲到Q3甚至到Q4，目前看起來TV面板因這波平均漲幅最高，最高已經超過150%，且終端客戶成本壓力過大影響銷售，所以價格會先停止上漲，但目前的報價只要不下跌，甚至緩跌，面板廠的獲利都非常可觀，至於台廠出貨比重較大的中小尺寸NB板，因疫情遠距需求仍強勁，21年拉貨仍吃緊，報價有機會持續漲到21Q4，這對台廠Q3、4獲利挹注將會更高。問題五：面板適合短中線還是長期投資？Ans：這題見仁見智，我個人是選擇中長期投資，不做短線、不做當沖，我去年就持續低檔持續一路買進，且都是現金不用融資，但你若是短期操作者，就只能自行判斷買賣點，我只會提供我自己的投資心得，及相關產業資訊分享給大家參考！有些人喜歡當沖，有些人喜歡波段操作，同學會都有其他人分享，有興趣可以自行爬文參考！面板這波回檔跟上個月快速大漲突破30元一樣都出乎我意料之外，我原本估計到21Q2才會到30元，但也因短線漲幅過大，加上4月底外資刻意調降評等，之後接連疫情爆發，以至於這波跌幅這麼深，讓這次消息面引發籌碼鬆動，凌駕在基本面之上。但在疫情影響漸漸淡化後，股價還是會回到基本面，隨著5月營收、6月營收、Q2獲利陸續出爐，股價還是會回到基本軌道，對於長期看好面板投資者，短期大幅回檔反而是更好低檔佈局的時機。,"1,852"
1,2021/05/19 19:23,"聯電, 華邦電, 友達, 群創, 加權指數",群創友達加權指數聯電華邦電老粉絲們上課了，今天收盤了，散戶才發現被外資割韭菜了，奇怪了，散戶怎麼永遠學不會呢？這麼簡單的盤也看不出來，全部要翻轉向上，快搶啊！買不到了啊！外資如果不這樣拉盤，散戶怎麼能被騙啊！不買超到讓散戶相信要翻轉了，散戶怎麼能夠在外資大賣超，高股票還能大漲，還能漲停，散戶瘋狂到失控為止，然後外資輕鬆割韭菜，割好割到滿為止！以後還有機會被割韭菜，但是方法會不同，因為短期內韭菜散戶不會上同樣的當，收盤才發現～1.外資大賣超283億元，然後散戶還要編理由安慰自己。2.外資拉漲停然後大賣彩晶，友達，群創，散戶還要編理由，賣超是外資先大賣，然後再追高買更多。3.外資賣超長榮還能拉漲停賣，外資賣超中鴻也能拉漲停，外資賣超了台玻，華紙，台聚，聯電，華邦電，散戶想好賣超理由了沒？4.都全國疫情三級警戒了，散戶還在編股票翻轉了，漲向天外天了，難怪外資法人主力這麼愛散戶，捧在手掌心玩，玩到輸光錢為止。恭喜老粉絲們，大多安然無恙，準備好了沒？賺大錢啦！想到要跌到下週五，有絕佳買點，就是令老粉絲們開心！散戶繼續編理由安慰自己吧！可以徹夜未眠編到明天開盤。明天開盤前提示：一定很簡單。追蹤我不定時分析粉絲們按讚,"3,206"
2,2021/05/19 22:17,"永豐金, 高端疫苗",05／19續說高端： 夥伴們，久違了～最近同學會烏煙瘴氣的，酸言酸人一堆，麥叔減少發言中。兩天來的端端股價，確實被打壓的很厲害，一群【酸客】前仆後繼陸續而來，奇妙的是高端並沒有劵可以空，他們目的為何？今天的5分鐘分盤折磨著高端，開盤後習慣性的殺盤，彷彿是電影情節，重複倒帶，昨天一次今天又一次。 隔日沖富邦建國今日出光囤貨，同夥的富邦虎尾也拍拍屁股離去，總算送完這些沖客。 今天高端中場似乎有點回神，股價一度回到367元，但在12:00卻傳出AZ疫苗下午4點來台，瞬間又下跌，而且速度很快。 真所謂上漲不易，像一隻蝸牛般慢慢上爬，下跌却滑的很快。 先來看看籌碼面：主要看兩家凱基台北＋637張。玉山高雄＋178張。看來明天要靠凱基台北來衝一波，少見凱基台北（假外資）買進這麼多張，加油明天靠你了。 對了永豐金羅東又偷偷買了64張。 這兩天高端因人為因素回檔了將近18％比起上次股市憲哥之亂也差不了多少。 目前10日均線有333元支撐住，明天可別再來其它因素干擾。 先止住目前下跌的趨勢，恢復體力再來收復失去的領土。 每次下跌修正只是蘊釀更高更大的漲幅而已，解盲迫在眉睫。我們看看外資（大小雙摩，野村）這兩天全部都立正站好，沒有任何動靜。 麥叔也很納悶，大小摩平常活潑好動，為何這兩天卻不見大動作，好歹也揮揮手say hello  一下。奇怪，詭異！！ 最終，看來洗盤也洗的差不多了，再洗下去，盤子就洗破了。 無論如何，高端疫苗解盲在即，已經有人點出高端的副作用趨近於零。這夥伴們我們不是早已經知道了嗎？那～我們擔心什麼？解盲失敗？ 或者【富作用太大】！！！😆😆😆😆😆😆😆,915
3,2021/05/19 20:10,鴻海,鴻海籌碼面0519在股市中投資或投機，你要了解什麼事對股價會有波動，大家看我有時候會分析鴻海的基本面，產業面，籌碼面，國際消息面及本土的covid-19情況，會分析這些的原因在於，這些都是影響股價波動的事件，以目前來說，短線股價就是會隨著covid-19的疫情而波動，剛好上星期五鴻海也開出了第一季的財報，當這兩件湊在一起時，幾天過去了，目前觀察的出來，是本土covid-19情況略佔上風，這時你就要懂得判斷情況了，我說過，基本面、產業面是影響股價中長線的走勢，covid-19這種消息面是影響短線投資人的信心，如果你了解這一點，當covid-19本土發生時，如果你對covid-19的發展情況有正確的掌握，你就會知道什麼時候是跌非理性的，當非理性發生時，鴻海開出了好的基本面財報，這時就是佈局撿便宜的時候。之前我有和大家說過防疫一、二、三、四級分別的意思，對於一般企業比較有影響的就是四級，四絹啟動，很多公司都會受影響，台灣的經濟也會受影響，所以在防疫指揮中心記者會上，很多記者在問陳時中是否會啟動四級，陳時中都會和他們說，本土連續14天，平均超過100例，且有一半感染源不明，這時會有人說，現在不是連續四天了嗎？豈不是危險，不~你不要亂判斷了，裡面有一個但書，就是其中有一半的感染源是找不到，以這幾天來說，不符合四級的情況，大家看這今天本土中的267例中，萬華茶藝館73例，萬華活動史87例，獅子王2例，水果盤商28例，進香團1例，僅有49例是不明，27例疫調中，根本就不符合一半以上找不到傳染鏈，你不要傻傻的在那自己算14天，以為四級要啟動了，其實根本沒有一天是符合的，這就是對資訊有判斷能力的重要性，你要懂規則，你才不會在那因為無知而恐慌。以第一季鴻海法說會的結果來說，第二季的營收會和第一季差不多，第二季鴻海會多扣一筆保留盈餘稅，之前說過了，鴻海賺了7.32元，配了4元出來，剩下的保留盈餘會在第二季扣5%，今年鴻海配息率有拉高，所以保留盈餘比去年少，2019年賺8.32元，配4.2元，保留了4.12元，2020年賺7.32元，配4元，保留3.2元，以鴻海股本1386億來算，保留了443.2億，這部份要被課5%，也就是22.17億，比起2019年保留了517億，要被課28.5課，少了6.38億，鴻海2021年第二季的營收估1.34兆，2020年第二季營收1.128兆，大概營收會成長18.7%，2021年鴻海元件及其它的成長率高，這部份屬於高毛利率的，所以2021年第二季要做到三率三升是很容易的。一來營收有優勢，二來保留盈餘少課了6.38億，三來高毛利率的元件及其它業務大增，目前看到鴻海第二季的展望是沒有什麼問題的，鴻海的工廠大部份不在台灣，台灣就算啟動4級，對鴻海的影響也是有限，以目前我的判斷，還沒有看到任何四級的跡象，大家不坊也能自己去每天滾動式的去驗證，反正防疫指揮中心天天在發佈新聞，你可以看本土多少例，哪一些是找得到傳染鏈，哪一些找不到，有沒有超過一半找不到傳染鏈，如果大部份都找得到，那差不多就會維持在三級，畢竟要讓各企業停止運作，這對台灣算是會有影響的，整體對公司獲利約會影響12分之1，影響有限，但還是會有實質的影響。,"1,796"
4,2021/05/19 22:32,"台聚, 大亞, 宏泰, 潤泰新, 隆大","🥶🥶🥶美股三大指數19日早盤全面走低，原因是比特幣價格暴跌，導致科技股賣壓湧現。道瓊工業指數19日早盤下跌490點，或1.3%；標普500指數跌約1.4%；那斯達克指數跌1.5%；費城半導體指數跌1.7%；台積電ADR跌1.5%。比特幣等加密幣下跌，拖累投資人對科技類股的信心。在中國大陸將打壓加密貨幣炒作等多重利空的襲擊下，全球最大加密貨幣比特幣19日盤中崩跌約25%，跌破33,000美元，且在一天跌掉超過10,000美元，並拖累乙太幣（Ethereum）、狗狗幣（Dogecoin）等其他加密貨幣同步下挫，加密貨幣市值蒸發5,900億美元。比特幣最大持有公司特斯拉19日下跌逾4%，科技大咖早盤都挫跌逾1%，包括臉書、微軟、蘋果及微軟。隨著投資人對通膨升溫的擔憂加劇，那斯達克指數5月以來下挫近5％。物價上漲的壓力可能導致美國聯準會（Fed）考慮升息，衝擊多年來透過低借貸成本創造高獲利的科技公司。💞💞💞大家別擔心，跌的是科技類股。🌔🌔🌔晚安！","1,678"
5,2021/05/20 00:21,高端疫苗,陳燦堅是先知 看完底下這篇再看文末我說的新冠肺炎疫苗荒，該如何加強自我保護？https://reurl.cc/e9jyx7現職：台灣大學醫學院兒童醫院院長、台灣感染症醫學會名譽理事長、台灣大學醫學院小兒科及台大公衛學院流行病學與預防醫學研究所特聘教授專長：兒童感染學、分子病毒學、疫苗學近日台灣新冠肺炎疫情嚴峻，不少非緊急、非嚴重病情的民眾，因恐慌湧入雙北急診及採檢站，不止排隊人潮壅塞，有可能增加群聚風險，也導致醫療量能相當吃緊。新冠肺炎疫苗也出現疫苗荒，就算有預約，也暫時打不到，各大醫療院所已陸續公告緩打公費及自費新冠肺炎疫苗的接種，動搖民眾的防疫信心。台灣感染症醫學會名譽理事長，同時也是台灣大學醫學院兒童醫院院長的黃立民教授說，「連續單日出現三位數字的確診病例，會緊張是人之常情，只要我們能夠維持目前戴口罩、勤洗手、維持社交距離的防疫新生活，有疫苗趕快去打，還是有機會扳回一成。」一項發表在《傳染病學報》（The Journal of Infectious Diseases）的囊括五十多萬個年長者的研究指出：施打13價結合型肺炎鏈球菌疫苗（PCV13）對年長者的新冠肺炎感染有保護作用。黃立民教授說，「根據美國疾病控制和預防中心（CDC）的分析，年長者、慢性腎病、肺阻塞、心臟病、糖尿病、肥胖者，罹患新冠肺炎的死亡風險較高，這些高危險族群跟罹患肺炎鏈球菌肺炎的高危險族群是一致的。這個研究顯示，有打13價結合型肺炎鏈球菌疫苗的年長者，在新冠肺炎的感染上，不管是在被診斷新冠肺炎感染、住院、重症和死亡，都比沒有打疫苗的年長者，減少了三成五。這代表細菌感染，在新冠肺炎感染的過程中，可能也扮演一定的角色。」「在台灣新冠肺炎疫苗，還不是那麼充足供應的時候，如果很擔心新冠肺炎，就算來不及打新冠肺炎疫苗，直接打13價結合型肺炎鏈球菌疫苗，也是有幫助的。若是已經打過新冠肺炎疫苗，也還是可以再打肺炎鏈球菌疫苗加強保護。」黃教授建議年長者、有慢性病，或是免疫力比較差的，比如說：有長期吃類固醇、有得到風溼免疫疾病，都是可考慮優先施打新冠肺炎疫苗跟13價結合型肺炎鏈球菌疫苗的族群。這兩隻疫苗可以一起施打，也可以先打13價結合型肺炎鏈球菌疫苗，等到未來有新冠肺炎疫苗，再趕快去補打新冠肺炎疫苗，減少得到肺炎重症的機率。--------------------------------------------------------早在去年七月經濟日報主辦的後疫情時代生醫新策略的會議上陳燦堅在報告高端疫苗時就有提到肺炎鏈球菌疫苗為什麼我會記得？ 因為我有記錄  他那場講的太精彩了  當時他說雖然他們公司沒有研發   但他極力推薦大家打肺炎鏈球菌疫苗而我也因此讓家長長輩之前超前部屬打了肺炎鏈球菌疫苗了真的很感謝陳燦堅我買股順便幫長輩建立自我防護買股也是要有股緣本人認為陳燦堅是個好人而且是一名充滿睿智的智者所以我投資高端從去年至今未曾後悔心意已堅晚安~,328
6,2021/05/19 17:40,"友達, 群創, 彩晶",面板股盤後分析～今天台股在外資大賣293.8億下，壓低台股結算明顯，加權指數上下震盪百點下終場僅小跌13點作收，鋼鐵、航運、面板三大族群連續兩天成為盤中強勢族群。外資今天大賣友達近8萬張、群創近4萬張、彩晶近2萬張，結果面板三傑仍維持強勢大漲，整個盤勢由內資撐盤，彩晶強勢連續兩天漲停、群創漲幅逾8%，友達雖外資調節最多仍然上漲逾5%。從技術指標看來，友達底部出量，今天外資倒給內資與散戶，但股價穩穩站上5日線與季線之上，群創線型與友達相近，彩晶則形成一個跳空缺口價量齊揚，持續維持強勢，面板股1字頭股價，應該又快要看不到了！參考國外疫情對股市的影響，台灣最近反應也差不多了，雖然今日全面性宣布第三級防疫措施，但投資人慢慢回到理性，前一波跌深的個股漸漸又回到市場主流，就基本面來看，今年航運、鋼鐵、面板、半導體等具有業績成長族群，Q3又是傳統的群旺季，在疫情穩定後將會帶領台股往上攻，跟上歐美股市的腳步！,"1,764"
7,2021/05/20 02:23,"高端疫苗, 台康生技",兄弟！我挺你https://money.udn.com/money/story/5658/5469824?from=ednappsharing,59
8,2021/05/19 20:27,"裕隆, 鴻海","拜登推動1740億美元電動車計畫 智能車添動能時報資訊 2021年5月19日 【時報記者任珮云台北報導】儘管目前車用晶片吃緊不利生產，美國總統拜登本月18日造訪福特汽車位於密西根州的電動車廠，再次強調他先前提出一項1,740億美元的計畫。提供補助金給升級和復工的車廠設施、建議對新的電動車電池工廠提供政府補貼、提供低成本信用給在本地生產乾淨能源車的製造商、斥資150億美元架設50萬座充電站，以及編列1,000億美元退稅優惠給購買電動車的車主。拜登電動車政策激勵低迷多日的電動車類股，也再次對電動車產業注入強心針！日盛全球智能車基金經理人王亨表示，全球電動車發展區動力來自全球暖化、碳排目標及政策利多。根據全球171個國家簽署之巴黎公約，為下個世代提供了具約束力的溫室氣體減量協定，全球碳排目標從2015年到2025年，平均減排目標為40%，其中以歐洲設定2030年車輛每公里排放59克二氧化碳目標，為目前各國設定目標中最嚴格者。此外，根據研究機構統計，2020年全球新能源車銷量為300萬輛，車市滲透率僅4%，HIS預測，2030年新能源車滲透率將達30%，CAGR30%，未來十年電動車將進入高速成長期。王亨指出，電池技術演進與成本持續下滑，電動車整體擁有成本優勢，有機會與燃油車平起平坐，也讓電動車加速普及。目前美股價值股風格優勢已經逐漸進入尾聲，加上預期通膨在第二季中下旬將見頂回落，因此成長股在進入第二季中旬有望重拾動能，此狀況將有利以成長股為主的科技、電動車族群。建議持續關注近期受惠拜登經濟復甦計畫中受惠的半導體及電動車族群。",38
9,2021/05/19 00:54,"裕隆, 鴻海",鴻海被外資看好，裕隆被內資打壓期待劉董與嚴夫人的智慧與魄力了鴻海結盟全球第四大車廠 背後隱含的三大意義鉅亨網 彭昱文 2021/05/18 22:03鴻海(2317-TW)集團宣布與 Stellantis 結盟，市場人士分析，鴻海此次合作，背後還隱含三大意義，凸顯鴻海的電動車商業模式也開始受大型傳統車廠採納、全球車用市場布局更加完善，同時帶動集團成員共同發展，集團車用布局開枝散葉。市場人士指出，與 Fisker、拜騰不同，Stellantis 是全球第四大車廠，加上鴻海過去相繼與中國的吉利控股、國內的裕隆 (2201-TW) 均有合作成立公司，均代表鴻海在電動車的商業模式，除了能吸引新創公司外，也逐漸獲得傳統車廠的青睞。此外，Stellantis 旗下擁有多達 14 個汽車品牌，市場人士看好，鴻海未來可望與 14 個品牌合作新一代電動車款外，也能藉此直接跨入歐洲市場，加上 Stellantis 旗下也有多個美國品牌，代表鴻海在美國、中國二大市場均擁有 2 個以上的合作夥伴，在全球電動車市場布局更加完善。而鴻海集團與 Stellantis 合資成立的 Mobile Drive，將聚焦智能座艙以及車聯網服務，鴻海子公司富智康在其中也扮演要角，且在合作記者會上，鴻海集團方面也由富智康執行長說明相關產品規劃以及回答外界提問。無獨有偶，鴻海另一重要轉投資夏普，在 17 日也跟進母集團宣布與 Fisker 合作，將共同開發下一代車用螢幕以及介面，均凸顯不只是鴻海穩步扎根拚轉型，更進一步帶動集團成員跟進，整體電動車布局逐漸開枝散葉。,48
