,日期,標題,內容,讚數
0,2021/05/24 04:23,"聯電, 華邦電, 友達, 群創, 加權指數","群創友達加權指數聯電華邦電今日看盤重點：1.本週看群創友達聯電華邦電是不是會在十月線落底！？2.所以即使買到十月線位置，也可能會短套到二十週線位置。3.會不會破十月線得看本週疫情變化？4.五月28日是否會解除三級警戒？不知道！會不會延長三級警戒？不知道！5.變化非常大，面板是買到19,18,17,16,15,14,13元？不知道，看福氣到那裡？6.只要買到最低點，反彈38.2％～61.8％，哪裡賣掉福氣賺到哪裡？未來盤勢變動非常快。7.股市發生大變化都是特殊事件造成，這也是分析股市消息面最重要的，股票除了技術面，籌碼面，還有消息面。8.假如快樂散戶不去理會消息面，一味專注利多新聞，那你的面板股就會買到35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19。9.現在可能還有19,18,17,16,15,14,13可以買，快樂散戶都看好目標40～60元，那現在正便宜，你還買不買？還是沒錢買了？叫其他快樂散戶繼續買？10.如果30元以上出清賣掉面板股高手，現在就可以從容不迫的等好價格買，做股票不就是波段操作，證交所有禁止投資人波段操作嗎？證交所有禁止投資人當沖嗎？11.喜歡抱上去抱下來的投資者，自己看週線KD向上向下投資就夠了，實在不要看我的文章浪費時間。追蹤我不定時分析老粉絲去按讚","1,734"
1,2021/05/24 04:58,合一,SNS812要成功要有：1、一個前提，前提就是新冠流感化，就是新冠打疫苗之後還是有一些人會感染新冠，需要類似類流感的藥來治療！2、二個要件：第一是安全，第二是療效現在合一雖然是做小鼠試驗，但是主要的試驗就是試驗安全性及藥物的運送(傳遞)跟優化。3、最後一個條件就是快速。這個條件取決於運氣跟合一自己研究速度的快慢，還有各國法規的限制。所以合一在問與答也有提到，「會同時考慮任何能加速進度的可能性。」4、所以目前檯面上競爭的這五家競爭藥商，最終應該是淘汰成一家或是兩家而已，就看誰的速度最快跟療效最好而定吧！5、大家還記得去年FB825的5.3億的授權，去年四月的授權，FB825根本就還沒有進行第二期，所以其實如果SNS812進行的臨床一期試驗後。SNS812的價值就會慢慢顯現出來，甚至就會有廠商來找合一談授權了！6、當然：一切的結果還是要等二期結束後才會更明瞭。等！,284
2,2021/05/24 01:27,"聯亞, 高端疫苗","本土疫苗快了 拚7月施打https://reurl.cc/NX535m可望在6月申請緊急使用授權（EUA）的高端疫苗、聯亞生技集團，第一波的新冠疫苗產量早已備妥。高端表示，目前成品、原料將可供應500萬劑，部分疫苗並已封籤檢驗，只要政府核准，馬上即可施打。聯亞集團表示，24日將再次盤點原料，目前第一波1,000萬劑疫苗上市無虞。趕搭抗新冠風暴列車，聯亞集團旗下的聯亞藥也規劃6月申請登錄興櫃，最快6月底、7月初即可掛牌。備受關注的本土疫苗廠，目前均已完成二期臨床，進度較快的高端可望在本月底或6月初解盲，受惠專家認為該兩家公司開發的新冠疫苗屬 「次單位疫苗」，副作用比國外疫苗低，技術比較成熟下，在目前本土疫情緊張，對疫苗需求強勁下，應可望順利在7月施打。不過，除了第一線的醫療人員外，疫苗公司產線人員，甚至相關接觸者也都有安全等級的考量，不排除也將列入首波施打行列。已經進入備戰狀態的高端，應可望取得政府500萬+500萬劑的開口採購合約，為了因應7月上市施打，高端目前成品、原料已備妥500萬劑，部分疫苗並已封籤檢驗。為加速疫苗上市，高端已申請台灣TFDA查廠，將生產新冠疫苗的竹北廠有完整的上、下游產業 ，未來一針型的疫苗將由自家廠房生產；不過因產能不足，部分抗原將委由台康生產，多劑型的疫苗也將由東洋等策略合作廠商充填。此外，由於中南美、印度等亞洲國家疫情嚴峻，高端的新冠疫苗 MVC-COV1901也將前進海外進行三期臨床，並投入變種病毒的疫苗開發。聯亞集團開發的新冠疫苗UB-612，第一波將生產1,000萬劑，生產計畫將由集團旗下子公司聯生藥與聯亞藥合作，其中，聯生藥擁有兩座、共4條2,000公升生產線的蛋白質藥廠，將負責生產新冠疫苗蛋白質原料藥；聯亞藥則有無菌針劑產線，未來將負責新冠疫苗成品的調製、無菌充填及包裝。",670
3,2021/05/23 20:27,友達,這少少1205張今天21.7元，我們來看看放到12月31日會是多少呢？我把它封存起來，年底再來揭曉。我好像這14年來只進沒有出，難得我能擁有一家國際型大企業超過千張以上股票。也算是千張以上中實戶投資人，從明天起我不再上來LDS。12月31日再上來LDS，大家說好不好呢？讓時間凍結在此刻，年底再來見真章。除非爆料同學會APP下架，不然12月31日我會再上來。告訴同學們1205張友達光電值多少錢？,"1,701"
4,2021/05/23 21:54,"友達, 長榮, 陽明, 群創, 加權指數",大家週末有沒有好好待在家，這週末本土案例尚未明顯減緩，明天大家又要上班了，也要多注意安全、戴口罩、勤洗手、勤消毒是必須！阿土伯很愛遊山玩水，近期也是好好待在家裡，雖然阿土伯退居公司的幕後，但阿土伯在台北、新北、桃園的公司也是在全面大消毒一遍，並且讓員工身體不舒服或是有重複確診者足跡的都能居家上班，希望大家能順利度過這波疫情回到股市來，阿土伯還是認為台股目前仍受本土疫情影響，下週漲幅不好預測，不過阿土伯大跌會開始買回到之前持股的水平，如果大漲就不特別追價，近期以短波段為主，另搭配高殖利率做保護的個股分散資金，大家明天上班多保重，其餘明天早盤在分享產業！台灣加油！大家加油,"1,119"
5,2021/05/23 19:52,"中鴻, 友達, 長榮, 陽明, 加權指數",下圖的留言相信長期追蹤我的人都知道為什麼人情冷暖自知不再多說黃小弟的付出各位看在眼裡謝謝所有忠實粉絲朋友們的支持黃小弟會繼續無償服務各位最後順便提醒一下週末即將結束指數來到16302上方的壓力近在咫尺明天並不是一個給你追價入市的時間點請粉絲朋友們特別注意⚠️繼續做好汰弱留強、精簡持股最後一樣追蹤按讚留言最近讚數真的太少了請大家踴躍按讚你們的支持是我分享的動力！,"2,319"
6,2021/05/24 01:24,撼訊,這麼晚發文，實在是發生了特別的事件，中國要打壓比特幣！說實話，中國百姓蠻可憐的，三年前打壓一次，重重拿起，輕輕放下，把中國比特幣富豪都打碎了！這次又傳出要打壓，害中國百姓不得已賤價拋售，真要打壓三年前就真做了，三年來有的是時間，這次，又來！萬一又是重重拿起，輕輕放下，我真的說，國際財團絕對趁現在爆買，隨便買都很容易漲個50%！等過一陣子，中國不刁難比特幣了，可憐的中國百姓又要替西方財團抬轎了！這樣實在沒什麼意思！是不是這樣，等以後驗證了，說不定很快就能看見答案了！,277
7,2021/05/23 21:19,加權指數,有些達人從一而終就一支股票有些達人不斷變換標的有些達人喜歡當日沖隔日沖無論何種達人只要能幫助同學們獲利的你都可以參考但有件事很重要就是要記得適時停利因為不管那一支股票不可能永遠漲不停明天又是新的開始祝同學們多空皆獲利大家晚安囉！😴😴😴,"1,217"
8,2021/05/23 21:09,台積電,大家晚安~~這篇文不挑個股，專給粉絲分享的。剛剛本就有在想說，想分享一下對下星期大盤的感想，就有同學也留言說想聽聽A妹對大盤的看法。呵呵🤭⋯⋯還真巧。好，那我們來聊聊下星期的想法。基本上，不知道各位有沒有發現，疫情對於大盤的影響力有種越來越弱的感覺了？因為疫情剛爆發的時候，來自於恐慌的氣氛太大，導致股市反應出這種恐慌的多殺多情況。但，政府迅速的對應。使得最近雖然每天還是有疫情傳出，但染病率卻是有控制住的傾向。只要疫情沒有大幅度的快速失控。那對股市的影響力就會越來越弱了。加上國人其實配合度也算好，政府反應的速度也不算太慢。昨天A妹去全聯買東西，進去前就要刷條碼了。超市中也沒有過多的人潮。街道上也沒有太多人。電視上也報導安平老街空曠無人。在在都顯示出大多國人仍是很配合政府的防疫措施的。這絕對是好事一件。但，大盤就會一路無阻的走回去嗎？A妹認為現在雖有訊號，但訊號還不夠強、不夠多。屬於「弱中透強」的格局。大盤在5/21已經站上10日線上了。但，尚未站上月線及布林中軌，很巧的是，這兩個點，目前同樣是在16703。下星期的重點是，能否快速的站回月線之上。能夠快速站回月線的話，就表示強度仍是強勁的。籌碼外資呈現小買。自營商小小買。投信，縮小賣超。（這是好的訊號）目前，干擾大盤很大的一個因素是（當沖）。當沖的量，始終不見大幅度的下降。依然會有一定程度干擾大盤的籌碼。成交量，5/21低於大盤5日均量。這代表很多資金仍是屬於觀望的。應該是疫情的緣故。不過，量縮，不縮至太低，也是好事。代表整理。因此，這個月只要能夠盤在10日線之上。基本上就很滿意了。但若能站回月線是更好。後面觀察重點，大盤何時能站回月線，並站穩月線，可視為重回多頭走勢的重要訊號。站穩，至少要觀察3天。下星期，不能再出現走弱的跡象。也就是不能大跌了。可以小跌小漲，盤整Ok。至少要能夠撐在5日線上。不能大跌，因為大跌會破壞整個大盤的走勢，整理時間勢必就要拉更長了。台積電一哥，A妹一向說它大哥就是大盤老大的代言人了。台積一哥在5/21一口氣站上3條線上。3、5、10日線之上，代表往上邁進的意圖明顯。線型，出現兩個變盤訊號，這也是好事一件。明天往上的機率大於往下的機率。所以，換句話說，大盤有站上10日線，如果同學你手中的個股，目前尚未站回10日線上的話，代表它比大盤弱勢，就是偏弱的個股。更要特別小心，這樣明白嗎？所以，明天大盤的指數，看一哥的訊號，A妹是偏樂觀的。但，大盤好，不是百花齊放。自己的個股，若是偏弱勢，仍是要特別小心謹慎的，這樣明白嗎？其實我不知道自己究竟有多少粉絲。不過，無聊去點了社團，才知道自己原來有超過2000個粉絲。有達到可以開社團的條件耶。嚇死寶寶👶呵呵雖然沒要開社團，但也是挺開心的。疫情尚未平息，大家仍須謹慎小心喔。加油💪,379
9,2021/05/24 03:21,"高端疫苗, 台康生技",如果沒有記錯⋯目前已知所有的新冠疫苗⋯全部都是二期解盲後就緊急上市⋯然後才接著進行三期試驗⋯所以別再扯高端二期解盲後能不能上市了好嗎⋯⋯新冠已經歸類流感，以後每隔一段時間就需要施打⋯所以能夠有自己國產疫苗，總歸都是好的，這不分黨派，是全國受惠⋯希望星期一該漲的都漲，該跌的也別跌太多，大家賺錢，大家開心。,134
